"Country","latest.year.available","CH4.emissions","CH4.emissions.per.capita","CH4.change.since.1990","N2O.emissions","N2O.emissions.per.capita","N2O.change.since.1990","X","Total_Emissions","Methane_Safety","Nitrous_Oxide_Safety","Overall_Safety","Emission_Ratio","Pollution_Profile","Region"
"Belgium",2012,6.39,0.58,-33.82,6.99,0.63,-3.29764141230656,NA,13.38,"Safe","Safe","Safe",0.914150012160055,"Balanced Profile","Europe"
"Belize",1994,5.57,27.6,-7.035,0.17,0.85,-2.29450483983098,NA,5.74,"Safe","Safe","Safe",32.745443856555,"Methane-Dominant","Americas"
"Benin",2000,2.32,0.33,-7.035,2.51,0.36,-2.29450483983098,NA,4.83,"Safe","Safe","Safe",0.924265965499382,"Balanced Profile","Africa"
"Bhutan",2000,0.59,1.05,-7.035,0.47,0.82,-2.29450483983098,NA,1.06,"Safe","Safe","Safe",1.25505211657094,"Balanced Profile","Asia"
"Bolivia (Plurinational State of)",2004,11.97,1.34,28.03,1.39,0.15,5.19903828368437,NA,13.36,"Safe","Safe","Safe",8.61089130278397,"Methane-Dominant","Americas"
"Bosnia and Herzegovina",2001,2.42,0.64,-45.7,1.46,0.38,-3.7638304107043,NA,3.88,"Safe","Safe","Safe",1.6574207246079,"Balanced Profile","Europe"
"Botswana",2000,2.16,1.4,-7.035,2.04,1.32,-2.29450483983098,NA,4.2,"Safe","Safe","Safe",1.05877162884172,"Balanced Profile","Africa"
"Brazil",2005,316.28,1.68,34.49,162.78,0.86,3.5584734438825,NA,479.06,"Dangerous","Dangerous","Dangerous",1.94298934574927,"Balanced Profile","Americas"
"Bulgaria",2012,7.19,0.98,-56.6,5.24,0.72,-3.91029495663231,NA,12.43,"Safe","Safe","Safe",1.37211121925154,"Balanced Profile","Europe"
"Burkina Faso",1994,4.7,0.48,-7.035,0.37,0.04,-2.29450483983098,NA,5.07,"Safe","Safe","Safe",12.6992704674412,"Methane-Dominant","Africa"
"Burundi",2005,0.53,0.07,-7.035,25.77,3.25,-2.29450483983098,NA,26.3,"Safe","Dangerous","Safe",0.0205664704444298,"Nitrous-Dominant","Africa"
"Cabo Verde",2000,0.07,0.16,-7.035,0.09,0.21,-2.29450483983098,NA,0.16,"Safe","Safe","Safe",0.776914539400666,"Balanced Profile","Africa"
"Cambodia",1994,7.77,0.75,-7.035,3.67,0.35,-2.29450483983098,NA,11.44,"Safe","Safe","Safe",2.11710852565325,"Methane-Dominant","Asia"
"Cameroon",1994,17.71,1.31,-7.035,145.25,10.72,-2.29450483983098,NA,162.96,"Safe","Dangerous","Dangerous",0.121927626900085,"Nitrous-Dominant","Africa"
"Canada",2012,90.56,2.6,25.78,47.73,1.37,-1.429313899763,NA,138.29,"Dangerous","Dangerous","Dangerous",1.89733522452289,"Balanced Profile","Americas"
"Central African Republic",1994,11.88,3.65,-7.035,25.64,7.88,-2.29450483983098,NA,37.52,"Safe","Dangerous","Safe",0.463336726455825,"Nitrous-Dominant","Africa"
"Chad",1993,6.94,1.06,-7.035,0.77,0.12,-2.29450483983098,NA,7.71,"Safe","Safe","Safe",9.01181664718868,"Methane-Dominant","Africa"
"Chile",2010,11.46,0.67,-7.035,9.7,0.57,-2.29450483983098,NA,21.16,"Safe","Safe","Safe",1.18143111926681,"Balanced Profile","Americas"
"China",2005,932.86,0.71,-7.035,394.1,0.3,-2.29450483983098,NA,1326.96,"Dangerous","Dangerous","Dangerous",2.36706359627922,"Methane-Dominant","Asia"
"Colombia",2004,53.87,1.26,21.37,34.38,0.8,3.40650427358619,NA,88.25,"Dangerous","Dangerous","Dangerous",1.56689480251657,"Balanced Profile","Americas"
"Comoros",1994,0.06,0.12,-7.035,0.39,0.83,-2.29450483983098,NA,0.45,"Safe","Safe","Safe",0.153806716226609,"Nitrous-Dominant","Africa"
"Congo",2000,0.5,0.16,-7.035,0.27,0.09,-2.29450483983098,NA,0.77,"Safe","Safe","Safe",1.85116623472788,"Balanced Profile","Africa"
"Cook Islands",1994,0.01,0.58,-7.035,0.04,2.04,-2.29450483983098,NA,0.05,"Safe","Safe","Safe",0.249376558603491,"Nitrous-Dominant","Oceania"
"Costa Rica",2005,3.53,0.83,11.89,2.59,0.61,10.9209763558758,NA,6.12,"Safe","Safe","Safe",1.36288174201768,"Balanced Profile","Americas"
"Côte d'Ivoire",2000,25.15,1.52,-7.035,185.68,11.24,-2.29450483983098,NA,210.83,"Safe","Dangerous","Dangerous",0.135448009775953,"Nitrous-Dominant","Africa"
"Croatia",2012,3.42,0.8,-7.41,3.3,0.77,-2.59129236893962,NA,6.72,"Safe","Safe","Safe",1.0363322323566,"Balanced Profile","Europe"
"Cuba",1996,6.64,0.61,-37.81,7.04,0.64,-3.90767718516764,NA,13.68,"Safe","Safe","Safe",0.943168420903112,"Balanced Profile","Americas"
"Cyprus",2012,1.3,1.15,43.28,0.61,0.54,2.23136878302215,NA,1.91,"Safe","Safe","Safe",2.13079822979839,"Methane-Dominant","Asia"
"Czech Republic",2012,10.26,0.97,-42.67,7.73,0.73,-3.4949587286188,NA,17.99,"Safe","Safe","Safe",1.32727907789032,"Balanced Profile","Europe"
"Democratic People's Republic of Korea",2002,12.62,0.54,-49.11,0.93,0.04,-4.25284699669111,NA,13.55,"Safe","Safe","Safe",13.568433501774,"Methane-Dominant","Asia"
"Democratic Republic of the Congo",2003,37.29,0.71,-7.035,6.06,0.12,-2.29450483983098,NA,43.35,"Safe","Safe","Safe",6.15336380587779,"Methane-Dominant","Africa"
"Denmark",2012,5.52,0.99,-7.26,5.99,1.07,-3.3909215711055,NA,11.51,"Safe","Safe","Safe",0.921520508839585,"Balanced Profile","Europe"
"Djibouti",2000,0.28,0.39,-7.035,0.45,0.62,-2.29450483983098,NA,0.73,"Safe","Safe","Safe",0.622083981337481,"Balanced Profile","Africa"
"Dominica",2005,0.03,0.46,-7.035,0.03,0.43,-2.29450483983098,NA,0.06,"Safe","Safe","Safe",0.996677740863787,"Balanced Profile","Americas"
"Dominican Republic",2000,4.84,0.56,59.11,3.18,0.37,6.53714433585029,NA,8.02,"Safe","Safe","Safe",1.52196471809063,"Balanced Profile","Americas"
"Ecuador",2006,17.17,1.23,31.61,201.48,14.42,3.21141754726248,NA,218.65,"Safe","Dangerous","Dangerous",0.0852193343163916,"Nitrous-Dominant","Americas"
"Egypt",2000,39.43,0.58,77.83,24.45,0.36,5.15074297258381,NA,63.88,"Safe","Dangerous","Safe",1.61267234080842,"Balanced Profile","Africa"
"El Salvador",2005,3.36,0.57,-7.035,1.65,0.28,-2.29450483983098,NA,5.01,"Safe","Safe","Safe",2.03624022786498,"Methane-Dominant","Americas"
"Eritrea",2000,3,0.85,-7.035,0.31,0.09,-2.29450483983098,NA,3.31,"Safe","Safe","Safe",9.67429861335053,"Methane-Dominant","Africa"
"Estonia",2012,0.93,0.7,-44.58,1.01,0.76,-3.80364378098399,NA,1.94,"Safe","Safe","Safe",0.920700920700921,"Balanced Profile","Europe"
"Ethiopia",1995,37.44,0.65,-0.45,7.44,0.13,5.1924941018511,NA,44.88,"Safe","Safe","Safe",5.03219042754802,"Methane-Dominant","Africa"
"Fiji",2004,0.51,0.63,-7.035,0.63,0.77,-2.29450483983098,NA,1.14,"Safe","Safe","Safe",0.809395334073957,"Balanced Profile","Oceania"
"Finland",2012,4.08,0.75,-33.82,5.18,0.96,-3.10515963508785,NA,9.26,"Safe","Safe","Safe",0.787629582440494,"Balanced Profile","Europe"
"France",2012,51.74,0.81,-13.4,57.77,0.91,-3.33072017417732,NA,109.51,"Dangerous","Dangerous","Dangerous",0.895619013988205,"Balanced Profile","Europe"
"Gabon",2000,0.71,0.58,-7.035,0.29,0.24,-2.29450483983098,NA,1,"Safe","Safe","Safe",2.44743192002758,"Methane-Dominant","Africa"
"Gambia",2000,0.8,0.65,-7.035,1.1,0.9,-2.29450483983098,NA,1.9,"Safe","Safe","Safe",0.72720661758022,"Balanced Profile","Africa"
"Georgia",2006,4.14,0.93,-42.19,2.2,0.5,-2.06768362482908,NA,6.34,"Safe","Safe","Safe",1.88173264851598,"Balanced Profile","Asia"
"Germany",2012,48.71,0.61,-55.23,55.8,0.69,-3.25855733021964,NA,104.51,"Safe","Dangerous","Dangerous",0.87293750369623,"Balanced Profile","Europe"
"Ghana",2006,6.42,0.31,113.56,3.96,0.18,3.44175725974648,NA,10.38,"Safe","Safe","Safe",1.6211711825459,"Balanced Profile","Africa"
"Greece",2012,9.71,309.1,-8.53,6.81,0.61,-3.22012061840004,NA,16.52,"Safe","Safe","Safe",1.42582340934788,"Balanced Profile","Europe"
"Grenada",1994,1.47,14.79,-7.035,0,0.02,-2.29450483983098,NA,1.47,"Safe","Safe","Safe",14700,"Methane-Dominant","Americas"
"Guatemala",1990,4.09,0.45,0,6.41,0.7,0,NA,10.5,"Safe","Safe","Safe",0.638055568555873,"Balanced Profile","Americas"
"Guinea",1994,3.25,0.43,-7.035,0.23,0.03,-2.29450483983098,NA,3.48,"Safe","Safe","Safe",14.1242937853107,"Methane-Dominant","Africa"
"Guinea-Bissau",1994,0.67,0.58,-7.035,0.85,0.73,-2.29450483983098,NA,1.52,"Safe","Safe","Safe",0.788142571462181,"Balanced Profile","Africa"
"Guyana",2004,1.19,1.6,11.74,0.23,0.31,1.90744997455418,NA,1.42,"Safe","Safe","Safe",5.17166449369839,"Methane-Dominant","Americas"
"Haiti",2000,3.67,0.43,-7.035,1.57,0.18,-2.29450483983098,NA,5.24,"Safe","Safe","Safe",2.33743073689574,"Methane-Dominant","Americas"
"Honduras",2000,3.85,0.62,-7.035,2.29,0.37,-2.29450483983098,NA,6.14,"Safe","Safe","Safe",1.68114929479062,"Balanced Profile","Americas"
"Hungary",2012,7.99,0.8,-32.72,6.76,0.68,-3.62386409118223,NA,14.75,"Safe","Safe","Safe",1.18193517847369,"Balanced Profile","Europe"
"Iceland",2012,0.46,1.41,4.63,0.46,1.42,-2.29450483983098,NA,0.92,"Safe","Safe","Safe",0.99978265594436,"Balanced Profile","Europe"
"India",2000,407.24,0.39,-7.035,79.8,0.08,-2.29450483983098,NA,487.04,"Dangerous","Dangerous","Dangerous",5.10325175031109,"Methane-Dominant","Asia"
"Indonesia",2000,236.33,1.12,122.72,28.47,0.13,3.87176629284037,NA,264.8,"Dangerous","Dangerous","Dangerous",8.30098945911676,"Methane-Dominant","Asia"
"Iran (Islamic Republic of)",2000,75.71,1.15,-7.035,40.15,0.61,-2.29450483983098,NA,115.86,"Dangerous","Dangerous","Dangerous",1.88567400828391,"Balanced Profile","Asia"
"Ireland",2012,12.07,2.59,-11.7,7.42,1.59,-2.65001779980924,NA,19.49,"Safe","Safe","Safe",1.62666271344052,"Balanced Profile","Europe"
"Israel",2010,6.81,0.92,-7.035,2.57,0.35,-2.29450483983098,NA,9.38,"Safe","Safe","Safe",2.64970234621221,"Methane-Dominant","Asia"
"Italy",2012,36.08,0.6,-17.56,27.53,0.46,-2.98211581944141,NA,63.61,"Safe","Dangerous","Safe",1.31056552646013,"Balanced Profile","Europe"
"Jamaica",1994,1.22,0.49,-7.035,106.54,43.19,-2.29450483983098,NA,107.76,"Safe","Dangerous","Dangerous",0.0114510874309298,"Nitrous-Dominant","Americas"
"Japan",2012,20.03,0.16,-38.32,20.23,0.16,-3.17281661117092,NA,40.26,"Safe","Dangerous","Safe",0.990108798275837,"Balanced Profile","Asia"
"Jordan",2006,3.07,0.55,-7.035,1.55,0.28,-2.29450483983098,NA,4.62,"Safe","Safe","Safe",1.9805173859751,"Balanced Profile","Asia"
"Kazakhstan",2012,49.03,2.91,-32.23,9.49,0.56,-3.61215030358994,NA,58.52,"Safe","Safe","Safe",5.16643660235403,"Methane-Dominant","Asia"
"Kenya",1994,15.54,0.58,-7.035,0.42,0.02,-2.29450483983098,NA,15.96,"Safe","Safe","Safe",36.9911925731969,"Methane-Dominant","Africa"
"Kiribati",1994,0.01,0.12,-7.035,0,0,-2.29450483983098,NA,0.01,"Safe","Safe","Safe",100,"Methane-Dominant","Oceania"
"Kuwait",1994,2.71,1.6,-7.035,0.14,0.08,-2.29450483983098,NA,2.85,"Safe","Safe","Safe",19.3433261955746,"Methane-Dominant","Asia"
"Kyrgyzstan",2005,3.02,0.59,-50.42,0.15,0.03,-2.547363672902,NA,3.17,"Safe","Safe","Safe",20.1199200532978,"Methane-Dominant","Asia"
"Lao People's Democratic Republic",2000,5.34,1,-16.68,2.5,0.47,18.7814287711054,NA,7.84,"Safe","Safe","Safe",2.13591456341746,"Methane-Dominant","Asia"
"Latvia",2012,1.63,0.8,-51.23,1.82,0.89,-3.74229529194551,NA,3.45,"Safe","Safe","Safe",0.895555189275314,"Balanced Profile","Europe"
"Lebanon",2000,1.83,0.56,-7.035,1.04,0,-2.29450483983098,NA,2.87,"Safe","Safe","Safe",1.75944620709547,"Balanced Profile","Asia"
"Lesotho",2000,1.26,0.68,-7.035,1.45,0.78,-2.29450483983098,NA,2.71,"Safe","Safe","Safe",0.868905592717744,"Balanced Profile","Africa"
"Liberia",2000,4.14,1.43,-7.035,0.31,0.11,-2.29450483983098,NA,4.45,"Safe","Safe","Safe",13.3505320864237,"Methane-Dominant","Africa"
"Liechtenstein",2012,0.02,0.43,8.92,0.01,0.34,-1.81205894936276,NA,0.03,"Safe","Safe","Safe",1.98019801980198,"Balanced Profile","Europe"
"Lithuania",2012,3.05,1.01,-46.93,4.14,1.37,-3.48510678423775,NA,7.19,"Safe","Safe","Safe",0.736697181227507,"Balanced Profile","Europe"
"Luxembourg",2012,0.43,0.8,-7.64,0.47,0.87,-1.33138604632837,NA,0.9,"Safe","Safe","Safe",0.914699000212721,"Balanced Profile","Europe"
"Madagascar",2000,6.92,0.44,-7.035,20.68,1.31,-2.29450483983098,NA,27.6,"Safe","Dangerous","Safe",0.334621205893589,"Nitrous-Dominant","Africa"
"Malawi",1994,3.95,0.41,-43.98,2.41,0.25,8.55092839000609,NA,6.36,"Safe","Safe","Safe",1.63893614372848,"Balanced Profile","Africa"
"Malaysia",2000,51.65,2.21,-7.035,2.9,0.12,-2.29450483983098,NA,54.55,"Dangerous","Safe","Safe",17.8097306989414,"Methane-Dominant","Asia"
"Maldives",1994,0.02,3.09923076923077,-7.035,16.9364640883978,1.72707182320442,-2.29450483983098,NA,16.9564640883978,"Safe","Safe","Safe",0.00118087705957437,"Nitrous-Dominant","Asia"
"Mali",2000,8.85,0.8,-7.035,1.77,0.16,-2.29450483983098,NA,10.62,"Safe","Safe","Safe",4.99971753008305,"Methane-Dominant","Africa"
"Malta",2012,0.1,0.25,42.3,0.06,0.14,2.24335487930447,NA,0.16,"Safe","Safe","Safe",1.66389351081531,"Balanced Profile","Europe"
"Mauritania",2000,4.15,1.53,-7.035,1.66,0.61,-2.29450483983098,NA,5.81,"Safe","Safe","Safe",2.49984940666225,"Methane-Dominant","Africa"
"Mauritius",2006,1.39,1.13,-7.035,0.19,0.15,-2.29450483983098,NA,1.58,"Safe","Safe","Safe",7.31194108364019,"Methane-Dominant","Africa"
"Mexico",2006,187.78,1.69,76.22,20.34,110.55,4.58282822716511,NA,208.12,"Dangerous","Dangerous","Dangerous",9.23200967546865,"Methane-Dominant","Americas"
"Micronesia (Federated States of)",1994,0.01,0.07,-7.035,0,0.03,-2.29450483983098,NA,0.01,"Safe","Safe","Safe",100,"Methane-Dominant","Oceania"
"Monaco",2012,0,0.02,-58.15,0,0.08,4.01266817034378,NA,0,"Safe","Safe","Safe",0,"Nitrous-Dominant","Europe"
"Mongolia",2006,6.53,2.55,15.83,0.46,0.18,11.1333628152095,NA,6.99,"Safe","Safe","Safe",14.1925668332971,"Methane-Dominant","Asia"
"Montenegro",2003,0.53,0.87,-6.26,0.29,0.46,-2.80331240640104,NA,0.82,"Safe","Safe","Safe",1.82695622199242,"Balanced Profile","Europe"
"Morocco",2000,9.09,0.31,-7.035,17.06,0.59,-2.29450483983098,NA,26.15,"Safe","Safe","Safe",0.532822199166476,"Balanced Profile","Africa"
"Mozambique",1994,5.66,0.37,13.51,0.98,0.06,3.33252202477177,NA,6.64,"Safe","Safe","Safe",5.77492092643608,"Methane-Dominant","Africa"
"Myanmar",2005,26.58,0.53,-7.035,3.31,0.07,-2.29450483983098,NA,29.89,"Safe","Safe","Safe",8.02996888311531,"Methane-Dominant","Asia"
"Namibia",2000,6.76,3.56,-7.035,0.31,0.16,-2.29450483983098,NA,7.07,"Safe","Safe","Safe",21.7994195420832,"Methane-Dominant","Africa"
"Nauru",1994,0.01,0.74,-7.035,0,0.03,-2.29450483983098,NA,0.01,"Safe","Safe","Safe",100,"Methane-Dominant","Oceania"
"Nepal",1994,19.92,0.95,-7.035,9.64,0.46,-2.29450483983098,NA,29.56,"Safe","Safe","Safe",2.06636860613479,"Methane-Dominant","Asia"
"Netherlands",2012,14.94,0.89,-41.86,9.06,0.54,-3.79556268754184,NA,24,"Safe","Safe","Safe",1.64898842176135,"Balanced Profile","Europe"
"New Zealand",2012,29.04,6.55,8.21,10.89,2.45,3.17546338329398,NA,39.93,"Safe","Safe","Safe",2.66664217959431,"Methane-Dominant","Oceania"
"Nicaragua",2000,4.27,0.85,-7.035,3.87,0.77,-2.29450483983098,NA,8.14,"Safe","Safe","Safe",1.10333066329035,"Balanced Profile","Americas"
"Niger",2000,6.76,0.6,96.78,4.96,0.44,7.97219513984513,NA,11.72,"Safe","Safe","Safe",1.36287574847281,"Balanced Profile","Africa"
"Nigeria",2000,88.18,0.72,-7.035,7.44,0.06,-2.29450483983098,NA,95.62,"Dangerous","Safe","Dangerous",11.8519912366769,"Methane-Dominant","Africa"
"Niue",1994,0.01,6.35,-7.035,0.01,5.59,-2.29450483983098,NA,0.02,"Safe","Safe","Safe",0.99009900990099,"Balanced Profile","Oceania"
"Norway",2012,4.23,0.84,-14.76,3.2,0.64,-3.31865770482307,NA,7.43,"Safe","Safe","Safe",1.3218336926971,"Balanced Profile","Europe"
"Oman",1994,2.61,1.22,-7.035,7.09,3.31,-2.29450483983098,NA,9.7,"Safe","Safe","Safe",0.368118926390319,"Nitrous-Dominant","Asia"
"Pakistan",1994,60.7,0.51,-7.035,11.45,0.1,-2.29450483983098,NA,72.15,"Dangerous","Safe","Dangerous",5.30126374442145,"Methane-Dominant","Asia"
"Palau",2000,0.03,1.59,-7.035,0.06,3.24,-2.29450483983098,NA,0.09,"Safe","Safe","Safe",0.499168053244592,"Nitrous-Dominant","Oceania"
"Panama",2000,3.15,1.04,-7.035,1.38,0.46,-2.29450483983098,NA,4.53,"Safe","Safe","Safe",2.28244330121006,"Methane-Dominant","Americas"
"Papua New Guinea",1994,0.09,0.02,-7.035,3.78,0.82,-2.29450483983098,NA,3.87,"Safe","Safe","Safe",0.0238088939446046,"Nitrous-Dominant","Oceania"
"Paraguay",2000,11.48,2.16,-32.19,8.31,1.57,-4.26442617829378,NA,19.79,"Safe","Safe","Safe",1.38145148674505,"Balanced Profile","Americas"
"Peru",2010,21.86,0.74,-7.035,13.78,0.47,-2.29450483983098,NA,35.64,"Safe","Safe","Safe",1.58634552724581,"Balanced Profile","Americas"
"Philippines",2000,31.8,0.41,-7.035,12.38,0.16,-2.29450483983098,NA,44.18,"Safe","Safe","Safe",2.56863837933458,"Methane-Dominant","Asia"
"Poland",2012,41.03,1.06,-17.36,29.59,0.77,-3.07901188295022,NA,70.62,"Safe","Dangerous","Dangerous",1.38661241428721,"Balanced Profile","Europe"
"Portugal",2012,12.25,1.17,20.03,4.48,0.43,-2.68329882633334,NA,16.73,"Safe","Safe","Safe",2.73431396620611,"Methane-Dominant","Europe"
"Qatar",2007,3.53,2.99,-7.035,0.45,0.38,-2.29450483983098,NA,3.98,"Safe","Safe","Safe",7.84270162186181,"Methane-Dominant","Asia"
"Republic of Korea",2012,29.78,0.6,-6.81,14.24,0.29,3.65830970950833,NA,44.02,"Safe","Safe","Safe",2.09127744889432,"Methane-Dominant","Asia"
"Republic of Moldova",2009,2.68,0.66,-41.57,1.61,0.39,-3.72123171915196,NA,4.29,"Safe","Safe","Safe",1.66449288864046,"Balanced Profile","Europe"
"Romania",2012,22.24,1.11,-48.22,11.61,0.58,-3.74657464992425,NA,33.85,"Safe","Safe","Safe",1.9155735092721,"Balanced Profile","Europe"
"Russian Federation",2012,502.56,3.51,-15.31,115.95,0.81,-3.63600697259441,NA,618.51,"Dangerous","Dangerous","Dangerous",4.33427828005323,"Methane-Dominant","Europe"
"Rwanda",2005,1.51,0.17,-7.035,4.14,0.46,-2.29450483983098,NA,5.65,"Safe","Safe","Safe",0.364725489722471,"Nitrous-Dominant","Africa"
"Saint Kitts and Nevis",1994,0.06,1.4,-7.035,0.03,0.8,-2.29450483983098,NA,0.09,"Safe","Safe","Safe",1.99335548172757,"Balanced Profile","Americas"
"Saint Lucia",2000,0.16,1.05,-7.035,0.04,0.25,-2.29450483983098,NA,0.2,"Safe","Safe","Safe",3.99002493765586,"Methane-Dominant","Americas"
"Saint Vincent and the Grenadines",1997,0.06,0.6,3.65,0.24,2.21,-1.55637334172929,NA,0.3,"Safe","Safe","Safe",0.249895876718034,"Nitrous-Dominant","Americas"
"Samoa",1994,0.07,0.41,-7.035,0.39,2.31,-2.29450483983098,NA,0.46,"Safe","Safe","Safe",0.179441168931043,"Nitrous-Dominant","Oceania"
"San Marino",2007,0,0.11,-7.035,0,0.06,-2.29450483983098,NA,0,"Safe","Safe","Safe",0,"Nitrous-Dominant","Europe"
"Sao Tome and Principe",2005,0.03,0.17,-7.035,0.01,0.04,-2.29450483983098,NA,0.04,"Safe","Safe","Safe",2.97029702970297,"Methane-Dominant","Africa"
"Saudi Arabia",2000,27.55,1.29,66.71,11.79,0.55,2.32203151427777,NA,39.34,"Safe","Safe","Safe",2.33670621962494,"Methane-Dominant","Asia"
"Senegal",2000,6.48,0.66,-7.035,3.62,0.37,-2.29450483983098,NA,10.1,"Safe","Safe","Safe",1.79000580094473,"Balanced Profile","Africa"
"Serbia",1998,8.91,0.92,-1.84,6.82,0.71,-2.80331240640104,NA,15.73,"Safe","Safe","Safe",1.3064324570021,"Balanced Profile","Europe"
"Seychelles",2000,0.06,0.71,-7.035,0.01,0.15,-2.29450483983098,NA,0.07,"Safe","Safe","Safe",5.94059405940594,"Methane-Dominant","Africa"
"Singapore",2010,0.11,0.02,-7.035,0.44,0.09,-2.29450483983098,NA,0.55,"Safe","Safe","Safe",0.249943194728471,"Nitrous-Dominant","Asia"
"Slovakia",2012,4.33,0.8,-16.57,2.94,0.54,-3.7692345069859,NA,7.27,"Safe","Safe","Safe",1.47273902248223,"Balanced Profile","Europe"
"Slovenia",2012,1.87,0.91,-11.85,1.11,0.54,-2.32388469264958,NA,2.98,"Safe","Safe","Safe",1.68453292496172,"Balanced Profile","Europe"
"South Africa",1994,43.21,1.07,0.21,20.67,0.51,-2.2426923409082,NA,63.88,"Safe","Dangerous","Safe",2.09045916565474,"Methane-Dominant","Africa"
"Spain",2012,32.32,0.69,23.27,24.02,0.52,-2.14070259633113,NA,56.34,"Safe","Dangerous","Safe",1.34553977710334,"Balanced Profile","Europe"
"Sri Lanka",2000,6.8,0.36,-7.035,1.07,0.06,-2.29450483983098,NA,7.87,"Safe","Safe","Safe",6.35454630408373,"Methane-Dominant","Asia"
"Sudan",2000,43.99,1.57,-7.035,17.67,0.63,-2.29450483983098,NA,61.66,"Safe","Safe","Safe",2.48951618836339,"Methane-Dominant","Africa"
"Suriname",2003,0.86,1.77,-7.035,16.9364640883978,1.72707182320442,-2.29450483983098,NA,17.7964640883978,"Safe","Safe","Safe",0.0507777135616978,"Nitrous-Dominant","Americas"
"Swaziland",1994,1.35,1.43,-7.035,0.41,0.44,-2.29450483983098,NA,1.76,"Safe","Safe","Safe",3.29188002926116,"Methane-Dominant","Africa"
"Sweden",2012,4.81,0.5,-31.18,6.19,0.65,-2.87242996539599,NA,11,"Safe","Safe","Safe",0.777047220561865,"Balanced Profile","Europe"
"Switzerland",2012,3.72,0.46,-19.84,3.02,0.38,-2.35914648825572,NA,6.74,"Safe","Safe","Safe",1.23174729313599,"Balanced Profile","Europe"
"Tajikistan",2010,3.49,0.46,-5.68,2.79,0.37,0,NA,6.28,"Safe","Safe","Safe",1.25085122397047,"Balanced Profile","Asia"
"Thailand",2000,58.61,0.93,-7.035,12.34,5.99,-2.29450483983098,NA,70.95,"Dangerous","Safe","Dangerous",4.74955632450304,"Methane-Dominant","Asia"
"The former Yugoslav Republic of Macedonia",2009,1.66,0.8,-3.62,0.91,0.01,-3.02278940559614,NA,2.57,"Safe","Safe","Safe",1.82397538732007,"Balanced Profile","Europe"
"Timor-Leste",2010,0.55,0.52,-7.035,0.47,0.44,-2.29450483983098,NA,1.02,"Safe","Safe","Safe",1.16996383748139,"Balanced Profile","Asia"
"Togo",2000,1.11,0.23,-7.035,2.35,0.48,-2.29450483983098,NA,3.46,"Safe","Safe","Safe",0.472320326794604,"Nitrous-Dominant","Africa"
"Tonga",2000,0.09,0.96,-7.035,0.06,0.57,-2.29450483983098,NA,0.15,"Safe","Safe","Safe",1.49750415973378,"Balanced Profile","Oceania"
